1.934625244e+02;5.677161273e-03
1.936655121e+02;1.257563941e-02
1.938684998e+02;1.617725566e-02
1.940715179e+02;5.067657214e-03
1.942745514e+02;4.291924648e-03
1.944776001e+02;-4.074904136e-03
1.946806641e+02;3.599306569e-03
1.948837433e+02;8.752387017e-03
1.950868378e+02;3.959468100e-03
1.952899628e+02;7.173216902e-03
1.954930878e+02;1.504136063e-02
1.956962280e+02;5.566342268e-03
1.958993835e+02;6.840760354e-03
1.961025696e+02;9.119474562e-04
1.963057556e+02;6.840760354e-03
1.965089722e+02;2.657345496e-03
1.967122040e+02;1.310202945e-02
1.969154358e+02;5.344704725e-03
1.971186981e+02;2.851278754e-03
1.973219757e+02;8.170587011e-03
1.975252533e+02;-1.138202730e-03
1.977285614e+02;7.533378433e-03
1.979318848e+02;3.931763116e-03
1.981352234e+02;9.749757126e-03
1.983385773e+02;-4.601294175e-03
1.985419464e+02;1.493746764e-03
1.987453461e+02;3.516192315e-03
1.989487457e+02;1.016532816e-02
1.991521606e+02;-1.664592652e-03
1.993555908e+02;5.095362198e-03
1.995590515e+02;1.466042129e-03
1.997625122e+02;-3.520809812e-03
1.999660034e+02;2.047841437e-03
2.001694946e+02;1.085101976e-04
2.003730164e+02;6.729941349e-03
2.005765533e+02;5.787980277e-03
2.007800903e+02;-3.770152340e-03
2.009836578e+02;3.266849788e-03
2.011872406e+02;1.191072632e-02
2.013908386e+02;8.309110999e-03
2.015944519e+02;5.067657214e-03
2.017980804e+02;9.112548083e-03
2.020017242e+02;2.539600428e-05
2.022053833e+02;1.521451515e-03
2.024090576e+02;9.112548083e-03
2.026127472e+02;-7.226317539e-04
2.028164520e+02;6.591417361e-03
2.030201721e+02;-1.470659510e-03
2.032239227e+02;4.208810627e-03
2.034276733e+02;-6.734558847e-03
2.036314545e+02;6.979283877e-03
2.038352356e+02;6.508303341e-03
2.040390472e+02;4.208810627e-03
2.042428589e+02;3.959468100e-03
2.044467010e+02;4.458153155e-03
2.046505585e+02;2.518821973e-03
2.048544159e+02;1.182761230e-02
2.050583038e+02;4.153401125e-03
2.052622070e+02;5.240811734e-04
2.054661255e+02;7.228626404e-03
2.056700592e+02;1.207695436e-02
2.058740082e+02;3.737830091e-03
2.060779724e+02;7.976653986e-03
2.062819519e+02;8.253701031e-03
2.064859467e+02;5.206180736e-03
2.066899567e+02;-9.442696464e-04
2.068939972e+02;2.629640745e-03
2.070980377e+02;-5.009939196e-04
2.073020935e+02;-2.468029968e-03
2.075061798e+02;3.211440286e-03
2.077102661e+02;5.310073539e-05
2.079143677e+02;8.696977049e-03
2.081184998e+02;5.926503800e-03
2.083226471e+02;-6.395175587e-04
2.085267944e+02;1.410632627e-03
2.087309723e+02;1.440415159e-02
2.089351654e+02;5.039952695e-03
2.091393585e+02;8.011285099e-04
2.093435822e+02;-3.347655002e-04
2.095478210e+02;2.324888716e-03
2.097520752e+02;-3.070607781e-04
2.099563446e+02;1.179990731e-02
2.101606293e+02;2.130955691e-03
2.103649292e+02;2.352593467e-03
2.105692444e+02;3.931763116e-03
2.107735748e+02;6.979283877e-03
2.109779205e+02;2.768164501e-03
2.111822815e+02;4.236515146e-03
2.113866730e+02;1.329596248e-02
2.115910645e+02;1.473660860e-02
2.117954712e+02;8.115177974e-03
2.119999084e+02;-2.966715023e-03
2.122043457e+02;7.616492454e-03
2.124088135e+02;-5.841081147e-04
2.126132812e+02;7.477968931e-03
2.128177795e+02;7.505673915e-03
2.130222778e+02;2.346359938e-02
2.132268066e+02;4.846019205e-03
2.134313507e+02;3.737830091e-03
2.136359100e+02;-1.664592652e-03
2.138404694e+02;1.163367834e-02
2.140450592e+02;1.066401321e-02
2.142496643e+02;5.815685261e-03
2.144542847e+02;1.916243928e-04
2.146589203e+02;3.931763116e-03
2.148635712e+02;3.848649096e-03
2.150682373e+02;-6.395175587e-04
2.152729187e+02;3.433078062e-03
2.154776154e+02;1.881613047e-03
2.156823273e+02;5.067657214e-03
2.158870697e+02;1.191072632e-02
2.160918121e+02;8.392225020e-03
2.162965698e+02;4.762905184e-03
2.165013580e+02;8.890910074e-03
2.167061462e+02;8.475339040e-03
2.169109497e+02;-5.016865209e-03
2.171157837e+02;1.770794159e-03
2.173206177e+02;1.576861017e-03
2.175254822e+02;2.934392774e-03
2.177303467e+02;3.322259057e-03
2.179352417e+02;5.926503800e-03
2.181401520e+02;-1.408323878e-04
2.183450623e+02;7.117807399e-03
2.185500031e+02;-3.770152340e-03
2.187549591e+02;3.904058598e-03
2.189599304e+02;8.863206021e-03
2.191649017e+02;8.170587011e-03
2.193699036e+02;3.931763116e-03
2.195749207e+02;1.357301045e-02
2.197799530e+02;6.480598822e-03
2.199850006e+02;3.322259057e-03
2.201900635e+02;-4.822932184e-03
2.203951416e+02;7.256330922e-03
2.206002350e+02;4.402743652e-03
2.208053589e+02;7.671901956e-03
2.210104828e+02;8.863206021e-03
2.212156219e+02;-2.301801462e-03
2.214207764e+02;4.264220130e-03
2.216259613e+02;-5.841081147e-04
2.218311462e+02;-1.498364261e-03
2.220363464e+02;7.284035906e-03
2.222415771e+02;3.578527831e-04
2.224468079e+02;5.926503800e-03
2.226520691e+02;1.493746764e-03
2.228573303e+02;1.149515528e-02
2.230626221e+02;1.216699486e-03
2.232679138e+02;2.241774695e-03
2.234732361e+02;-3.077534027e-03
2.236785583e+02;6.009618286e-03
2.238839111e+02;1.348989550e-02
2.240892792e+02;-1.408323878e-04
2.242946625e+02;5.400114227e-03
2.245000458e+02;-2.689667745e-03
2.247054596e+02;6.452893838e-03
2.249108887e+02;1.083024126e-02
2.251163330e+02;-3.624702513e-04
2.253217926e+02;-6.395175587e-04
2.255272675e+02;3.599306569e-03
2.257327576e+02;1.337907650e-02
2.259382629e+02;1.632270520e-03
2.261437836e+02;-1.110497979e-03
2.263493195e+02;5.510932766e-03
2.265548706e+02;2.158660442e-03
2.267604370e+02;-4.490475170e-03
2.269660187e+02;9.445005096e-03
2.271716309e+02;7.921244949e-03
2.273772430e+02;-1.830821042e-03
2.275828705e+02;4.347334150e-03
2.277885132e+02;6.813055370e-03
2.279941864e+02;6.785350852e-03
2.281998596e+02;2.158660442e-03
2.284055634e+02;3.488487564e-03
2.286112671e+02;1.584479772e-02
2.288169861e+02;5.787980277e-03
2.290227356e+02;5.095362198e-03
2.292284851e+02;2.463412471e-03
2.294342651e+02;1.604565769e-03
2.296400604e+02;6.903095637e-04
2.298458557e+02;-3.659333335e-03
2.300516815e+02;-3.631628584e-03
2.302575226e+02;1.074712723e-02
2.304633636e+02;9.445005096e-03
2.306692352e+02;-1.221316983e-03
2.308751221e+02;1.229859237e-02
2.310810089e+02;5.240811734e-04
2.312869263e+02;4.181105644e-03
2.314928589e+02;3.377668560e-03
2.316988068e+02;-5.155388732e-03
2.319047699e+02;1.182761230e-02
2.321107483e+02;1.493054163e-02
2.323167419e+02;4.014877602e-03
2.325227509e+02;-3.901749733e-04
2.327287750e+02;2.103250939e-03
2.329348145e+02;3.266849788e-03
2.331408691e+02;6.619122345e-03
2.333469391e+02;1.964727184e-03
2.335530243e+02;2.491117222e-03
2.337591248e+02;-1.498364261e-03
2.339652405e+02;2.075546188e-03
2.341713867e+02;-1.886230544e-03
2.343775330e+02;7.284035906e-03
2.345836945e+02;1.415480953e-02
2.347898712e+02;9.084843099e-03
2.349960785e+02;2.075546188e-03
2.352022858e+02;1.493746764e-03
2.354085083e+02;-5.543255247e-03
2.356147614e+02;8.641568013e-03
2.358210144e+02;-1.082793227e-03
2.360272827e+02;-1.941639930e-03
2.362335815e+02;1.016532816e-02
2.364398804e+02;1.069171820e-02
2.366462097e+02;-2.357210964e-03
2.368525391e+02;-2.163277939e-03
2.370588989e+02;-6.672223099e-04
2.372652588e+02;1.249252539e-02
2.374716492e+02;7.367149927e-03
2.376780548e+02;1.639196707e-04
2.378844604e+02;1.116269827e-02
2.380908966e+02;2.047841437e-03
2.382973480e+02;-1.276726369e-03
2.385037994e+02;3.045211779e-03
2.387102814e+02;1.362149342e-04
2.389167786e+02;3.183735535e-03
2.391232758e+02;6.785350852e-03
2.393298035e+02;2.740459749e-03
2.395363464e+02;4.513562657e-03
2.397429047e+02;3.793239594e-03
2.399494781e+02;5.898799282e-03
2.401560669e+02;1.355223125e-03
2.403626556e+02;7.117807399e-03
2.405692749e+02;9.999099188e-03
2.407759094e+02;-2.274096711e-03
2.409825592e+02;3.516192315e-03
2.411892242e+02;6.646826863e-03
2.413959045e+02;-2.772781998e-03
2.416026001e+02;1.551234163e-02
2.418093109e+02;1.825510897e-02
2.420160370e+02;-1.526069012e-03
2.422227783e+02;7.533378433e-03
2.424295502e+02;2.768164501e-03
2.426363220e+02;1.268645842e-02
