,Tensión,Tensión Corriente
234,0.1598306,6.7005e-05
235,0.15704024,6.5957e-05
236,0.15441752,6.4103e-05
237,0.15037124,6.1514e-05
238,0.14762831,6.4166e-05
239,0.14447505,6.4941e-05
240,0.14125295,6.4344e-05
241,0.13842439,6.4019e-05
242,0.1344959,6.2562e-05
243,0.13161828,6.1504e-05
244,0.12899847,6.033e-05
245,0.1256205,6.1567e-05
246,0.12185767,6.1252e-05
247,0.11910588,6.099e-05
248,0.11579044,5.989e-05
249,0.11286791,6.0341e-05
250,0.11007623,5.9638e-05
251,0.10608475,5.9858e-05
252,0.10338428,5.8905e-05
253,0.10013458,5.9911e-05
254,0.097049973,5.8664e-05
255,0.093459319,6.0676e-05
256,0.091047485,5.8559e-05
257,0.08736655,5.7102e-05
258,0.083813387,5.5855e-05
259,0.08071507,5.5006e-05
260,0.077995284,5.7333e-05
261,0.074515224,5.792e-05
262,0.07093939,5.9125e-05
263,0.068083311,5.6662e-05
264,0.064726041,5.42e-05
265,0.061567409,5.596e-05
266,0.058468188,5.4042e-05
267,0.055659233,5.4692e-05
268,0.052524071,5.53e-05
269,0.048770183,5.4598e-05
270,0.045016367,5.4074e-05
271,0.042023039,5.4545e-05
272,0.038803436,5.4839e-05
273,0.035971299,5.3204e-05
274,0.032473858,5.3162e-05
275,0.029365996,5.247e-05
276,0.026068327,5.1517e-05
277,0.022882722,5.2041e-05
278,0.019337499,5.2156e-05
279,0.016479065,5.2869e-05
280,0.013308625,5.3917e-05
281,0.010291616,5.3592e-05
282,0.009370401,5.989e-05
283,0.023685344,5.2879e-05
284,0.024118319,5.0605e-05
285,0.024122514,5.0532e-05
286,0.024125439,5.0186e-05
287,0.024128259,5.137e-05
288,0.024130799,5.1936e-05
289,0.024133099,5.1905e-05
290,0.024132954,5.1926e-05
291,0.0241265,5.0961e-05
292,0.023602242,4.6979e-05
293,0.031742306,5.1559e-05
294,0.03223186,5.0888e-05
295,0.035312206,5.0951e-05
296,0.038544321,4.9683e-05
297,0.041643467,5.0951e-05
298,0.045036289,5.0542e-05
299,0.047879815,5.1936e-05
300,0.051131716,5.1496e-05
301,0.054446278,5.0542e-05
302,0.057193327,5.0396e-05
303,0.060575474,4.9054e-05
304,0.064156102,4.9096e-05
305,0.066786791,4.9421e-05
306,0.070359896,5.0417e-05
307,0.073876749,5.0846e-05
308,0.07675574,4.983e-05
309,0.080574326,4.8834e-05
310,0.083161856,4.7723e-05
311,0.086749478,4.9253e-05
312,0.089525454,4.8645e-05
313,0.093463118,4.7545e-05
314,0.096423343,4.9002e-05
315,0.099389317,4.9065e-05
316,0.10270187,4.7336e-05
317,0.10602896,4.6979e-05
318,0.10940491,4.897e-05
319,0.11217032,4.7776e-05
320,0.11587388,4.9652e-05
321,0.11858338,4.7503e-05
322,0.12188204,4.7765e-05
323,0.12552258,4.3919e-05
324,0.12862024,4.5082e-05
325,0.13081108,4.875e-05
326,0.13433965,4.7734e-05
327,0.13775449,4.9086e-05
328,0.14034846,4.6109e-05
329,0.14446714,4.5533e-05
330,0.14715883,4.4716e-05
331,0.15020843,4.5764e-05
332,0.15358606,4.8132e-05
333,0.15624378,4.9274e-05
